2025-01-23 09:00:08,001 - 
Running experiments on Cora
2025-01-23 09:00:08,001 - Run 1/5
2025-01-23 09:00:09,177 - Cora - Epoch 10: Loss=2.8918, Val Acc=0.1560, Test Acc=0.1440
2025-01-23 09:00:09,258 - Cora - Epoch 20: Loss=2.8869, Val Acc=0.0720, Test Acc=0.0910
2025-01-23 09:00:09,340 - Cora - Epoch 30: Loss=2.8887, Val Acc=0.1520, Test Acc=0.1360
2025-01-23 09:00:09,420 - Cora - Epoch 40: Loss=2.8871, Val Acc=0.3140, Test Acc=0.3190
2025-01-23 09:00:09,501 - Cora - Epoch 50: Loss=2.8892, Val Acc=0.3060, Test Acc=0.3150
2025-01-23 09:00:09,581 - Cora - Epoch 60: Loss=2.8912, Val Acc=0.3160, Test Acc=0.3190
2025-01-23 09:00:09,662 - Cora - Epoch 70: Loss=2.8908, Val Acc=0.3160, Test Acc=0.3190
2025-01-23 09:00:09,742 - Cora - Epoch 80: Loss=2.8914, Val Acc=0.1620, Test Acc=0.1490
2025-01-23 09:00:09,823 - Cora - Epoch 90: Loss=2.8893, Val Acc=0.1560, Test Acc=0.1440
2025-01-23 09:00:09,903 - Cora - Epoch 100: Loss=2.8942, Val Acc=0.3160, Test Acc=0.3190
2025-01-23 09:00:09,984 - Cora - Epoch 110: Loss=2.8902, Val Acc=0.1220, Test Acc=0.1310
2025-01-23 09:00:10,064 - Cora - Epoch 120: Loss=2.8880, Val Acc=0.1220, Test Acc=0.1300
2025-01-23 09:00:10,145 - Cora - Epoch 130: Loss=2.8888, Val Acc=0.1220, Test Acc=0.1300
2025-01-23 09:00:10,225 - Cora - Epoch 140: Loss=2.8882, Val Acc=0.1620, Test Acc=0.1490
2025-01-23 09:00:10,306 - Cora - Epoch 150: Loss=2.8864, Val Acc=0.1620, Test Acc=0.1490
2025-01-23 09:00:10,387 - Cora - Epoch 160: Loss=2.8913, Val Acc=0.1620, Test Acc=0.1490
2025-01-23 09:00:10,467 - Cora - Epoch 170: Loss=2.8927, Val Acc=0.3160, Test Acc=0.3170
2025-01-23 09:00:10,548 - Cora - Epoch 180: Loss=2.8921, Val Acc=0.1140, Test Acc=0.1030
2025-01-23 09:00:10,628 - Cora - Epoch 190: Loss=2.8931, Val Acc=0.1560, Test Acc=0.1440
2025-01-23 09:00:10,709 - Cora - Epoch 200: Loss=2.8914, Val Acc=0.3160, Test Acc=0.3190
2025-01-23 09:00:10,709 - Run 2/5
2025-01-23 09:00:10,810 - Cora - Epoch 10: Loss=2.8950, Val Acc=0.0580, Test Acc=0.0650
2025-01-23 09:00:10,890 - Cora - Epoch 20: Loss=2.8877, Val Acc=0.1700, Test Acc=0.1690
